"Årstal";"Bopæl";"Arbejde";"Mænd";"Kvinder"
"2019";"Region Hovedstaden";"Region Hovedstaden";460177;452766
"2019";"Region Hovedstaden";"Landsdel Byen K�benhavn";210209;222113
"2019";"Region Hovedstaden";"K�benhavn";177489;189448
"2019";"Region Hovedstaden";"Frederiksberg";17462;21451
"2019";"Region Hovedstaden";"Drag�r";1479;1436
"2019";"Region Hovedstaden";"T�rnby";13779;9778
"2019";"Region Hovedstaden";"Landsdel K�benhavns omegn";155253;136559
"2019";"Region Hovedstaden";"Albertslund";9897;5811
"2019";"Region Hovedstaden";"Ballerup";20118;16696
"2019";"Region Hovedstaden";"Br�ndby";11598;7349
"2019";"Region Hovedstaden";"Gentofte";17806;20322
"2019";"Region Hovedstaden";"Gladsaxe";19249;17060
"2019";"Region Hovedstaden";"Glostrup";8825;8401
"2019";"Region Hovedstaden";"Herlev";9212;10249
"2019";"Region Hovedstaden";"Hvidovre";12789;11599
"2019";"Region Hovedstaden";"H�je_Taastrup";14330;11199
"2019";"Region Hovedstaden";"Ish�j";3678;2791
"2019";"Region Hovedstaden";"Lyngby-Taarb�k";17558;16022
"2019";"Region Hovedstaden";"R�dovre";8107;6930
"2019";"Region Hovedstaden";"Vallensb�k";2086;2130
"2019";"Region Hovedstaden";"Landsdel Nordsj�lland";85985;86087
"2019";"Region Hovedstaden";"Aller�d";7266;5872
"2019";"Region Hovedstaden";"Egedal";5645;5235
"2019";"Region Hovedstaden";"Fredensborg";5990;6565
"2019";"Region Hovedstaden";"Frederikssund";7572;6896
"2019";"Region Hovedstaden";"Fures�";6418;6426
"2019";"Region Hovedstaden";"Gribskov";6513;6184
"2019";"Region Hovedstaden";"Halsn�s";4490;4479
"2019";"Region Hovedstaden";"Helsing�r";11035;11159
"2019";"Region Hovedstaden";"Hiller�d";14222;15751
"2019";"Region Hovedstaden";"H�rsholm";4388;4910
"2019";"Region Hovedstaden";"Rudersdal";12446;12610
"2019";"Region Hovedstaden";"Landsdel Bornholm";8730;8007
"2019";"Region Hovedstaden";"Bornholm";8710;7987
"2019";"Region Hovedstaden";"Christians�";20;20
"2019";"Region Hovedstaden";"Region Sj�lland";21112;14154
"2019";"Region Hovedstaden";"Landsdel �stsj�lland";13763;9738
"2019";"Region Hovedstaden";"Greve";3726;2161
"2019";"Region Hovedstaden";"K�ge";2783;1538
"2019";"Region Hovedstaden";"Lejre";613;448
"2019";"Region Hovedstaden";"Roskilde";5946;5090
"2019";"Region Hovedstaden";"Solr�d";695;501
"2019";"Region Hovedstaden";"Landsdel Vest- og Sydsj�lland";7349;4416
"2019";"Region Hovedstaden";"Faxe";536;233
"2019";"Region Hovedstaden";"Guldborgsund";378;351
"2019";"Region Hovedstaden";"Holb�k";1198;1016
"2019";"Region Hovedstaden";"Kalundborg";494;227
"2019";"Region Hovedstaden";"Lolland";253;117
"2019";"Region Hovedstaden";"N�stved";767;483
"2019";"Region Hovedstaden";"Odsherred";407;207
"2019";"Region Hovedstaden";"Ringsted";970;423
"2019";"Region Hovedstaden";"Slagelse";1227;677
"2019";"Region Hovedstaden";"Sor�";447;268
"2019";"Region Hovedstaden";"Stevns";228;109
"2019";"Region Hovedstaden";"Vordingborg";444;305
"2019";"Region Hovedstaden";"Region Syddanmark";3674;2009
"2019";"Region Hovedstaden";"Landsdel Fyn";1898;1205
"2019";"Region Hovedstaden";"Assens";60;25
"2019";"Region Hovedstaden";"Faaborg-Midtfyn";119;54
"2019";"Region Hovedstaden";"Kerteminde";41;19
"2019";"Region Hovedstaden";"Langeland";24;13
"2019";"Region Hovedstaden";"Middelfart";190;141
"2019";"Region Hovedstaden";"Nordfyns";54;21
"2019";"Region Hovedstaden";"Nyborg";52;29
"2019";"Region Hovedstaden";"Odense";1237;815
"2019";"Region Hovedstaden";"Svendborg";113;68
"2019";"Region Hovedstaden";"�r�";8;20
"2019";"Region Hovedstaden";"Landsdel Sydjylland";1776;804
"2019";"Region Hovedstaden";"Billund";73;29
"2019";"Region Hovedstaden";"Esbjerg";323;141
"2019";"Region Hovedstaden";"Fan�";3;3
"2019";"Region Hovedstaden";"Fredericia";217;107
"2019";"Region Hovedstaden";"Haderslev";120;51
"2019";"Region Hovedstaden";"Kolding";319;164
"2019";"Region Hovedstaden";"S�nderborg";106;73
"2019";"Region Hovedstaden";"T�nder";42;23
"2019";"Region Hovedstaden";"Varde";178;35
"2019";"Region Hovedstaden";"Vejen";43;21
"2019";"Region Hovedstaden";"Vejle";250;109
"2019";"Region Hovedstaden";"Aabenraa";102;48
"2019";"Region Hovedstaden";"Region Midtjylland";3805;2098
"2019";"Region Hovedstaden";"Landsdel �stjylland";2734;1647
"2019";"Region Hovedstaden";"Favrskov";59;21
"2019";"Region Hovedstaden";"Hedensted";95;54
"2019";"Region Hovedstaden";"Horsens";174;69
"2019";"Region Hovedstaden";"Norddjurs";100;51
"2019";"Region Hovedstaden";"Odder";23;16
"2019";"Region Hovedstaden";"Randers";109;70
"2019";"Region Hovedstaden";"Sams�";13;13
